epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81524,1.32815,2.60389,1.57528,0.94121,0.42667,0.66832,0.44163,1.09856,2.43508,1.2922,0.000468121,0.000468121,0.000468121
2,16.6808,1.24734,1.47346,1.48606,0.79051,0.94173,0.93832,0.6009,1.16167,1.1691,1.39145,0.000939779,0.000939779,0.000939779
3,24.713,1.23082,1.28108,1.45106,0.78891,0.80526,0.85625,0.48443,1.36263,1.40103,1.45247,0.00140672,0.00140672,0.00140672
4,32.6393,1.23057,1.24324,1.46115,0.90335,0.88815,0.95969,0.63382,1.12337,0.92745,1.29196,0.00140778,0.00140778,0.00140778
5,40.5359,1.20481,1.14723,1.4344,0.89112,0.92309,0.9692,0.6492,1.15683,0.84902,1.31899,0.00140071,0.00140071,0.00140071
6,48.5134,1.17713,1.0649,1.4117,0.88767,0.77116,0.90914,0.60903,1.15325,1.06243,1.27271,0.00139363,0.00139363,0.00139363
7,56.5014,1.15041,1.00543,1.38788,0.91776,0.94779,0.9862,0.66398,1.1375,0.66711,1.23891,0.00138656,0.00138656,0.00138656
8,64.9556,1.13566,0.99547,1.36817,0.92078,1,0.9794,0.66977,1.12638,0.65727,1.24107,0.00137949,0.00137949,0.00137949
9,73.5286,1.111,0.93087,1.36452,0.85105,0.94441,0.95859,0.56115,1.21995,0.83964,1.32714,0.00137241,0.00137241,0.00137241
10,82.6684,1.09208,0.90983,1.34693,0.91743,0.97046,0.98835,0.70389,1.06687,0.58248,1.19314,0.00136534,0.00136534,0.00136534
11,92.4933,1.09889,0.89371,1.34225,0.93517,0.97433,0.9917,0.66074,1.14951,0.55543,1.21834,0.00135826,0.00135826,0.00135826
12,102.6,1.10321,0.88814,1.35112,0.89454,0.83684,0.92007,0.64701,1.04814,0.85347,1.16243,0.00135119,0.00135119,0.00135119
13,112.783,1.07378,0.84403,1.34022,0.88727,0.95483,0.94489,0.63601,1.03994,0.68629,1.18719,0.00134412,0.00134412,0.00134412
14,123.059,1.0861,0.86064,1.33448,0.95641,0.94874,0.99053,0.68683,1.07022,0.56681,1.1911,0.00133704,0.00133704,0.00133704
15,133.484,1.06126,0.81976,1.30527,0.94634,0.97716,0.99301,0.6978,1.0218,0.50739,1.15885,0.00132997,0.00132997,0.00132997
16,144.304,1.0601,0.81748,1.31854,0.9409,0.98649,0.9912,0.69351,1.04373,0.53077,1.17549,0.0013229,0.0013229,0.0013229
17,155.647,1.037,0.79476,1.30553,0.97,0.98374,0.9933,0.71267,0.99434,0.48611,1.15365,0.00131582,0.00131582,0.00131582
18,167.043,1.01402,0.75952,1.28793,0.97767,0.97005,0.99409,0.71743,1.00647,0.5047,1.15194,0.00130875,0.00130875,0.00130875
19,178.868,1.02669,0.74941,1.28937,0.98578,0.96825,0.99384,0.71211,0.97432,0.4908,1.11573,0.00130168,0.00130168,0.00130168
20,190.952,1.03267,0.75199,1.29148,0.9806,0.97136,0.99356,0.74016,0.97579,0.47307,1.10422,0.0012946,0.0012946,0.0012946
21,203.005,1.00817,0.74918,1.28035,0.9825,0.96139,0.9933,0.73797,0.98237,0.47282,1.13175,0.00128753,0.00128753,0.00128753
22,215.324,1.00746,0.73711,1.29287,0.9202,0.97686,0.98641,0.71285,0.93324,0.52797,1.11629,0.00128046,0.00128046,0.00128046
23,228.278,1.00012,0.72871,1.27192,0.97157,0.98866,0.99413,0.69877,1.00958,0.47798,1.16212,0.00127338,0.00127338,0.00127338
