epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9819,1.40002,2.75789,1.73186,0.75337,0.29635,0.41796,0.1996,1.45933,2.34407,1.827,0.000469005,0.000469005,0.000469005
2,122.419,1.33875,1.93734,1.66658,0.42315,0.48625,0.44978,0.20686,2.44165,2.44182,2.65292,0.000940659,0.000940659,0.000940659
3,181.751,1.34951,1.73374,1.66575,0.68656,0.70972,0.78087,0.45622,1.51876,1.7279,1.90664,0.0014076,0.0014076,0.0014076
4,241.403,1.35603,1.67031,1.66797,0.59603,0.47545,0.48768,0.19809,1.84503,3.07393,2.14527,0.00140778,0.00140778,0.00140778
5,301.377,1.32032,1.56568,1.61892,0.73573,0.81645,0.83191,0.47347,1.36774,1.37527,1.58745,0.00140071,0.00140071,0.00140071
