epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9466,1.32815,2.60389,1.57528,0.94121,0.42667,0.66832,0.44163,1.09856,2.43508,1.2922,0.000468121,0.000468121,0.000468121
2,20.1202,1.24903,1.49288,1.49218,0.68502,0.86576,0.829,0.52437,1.20869,1.30018,1.43319,0.000925754,0.000925754,0.000925754
3,29.2937,1.23315,1.29288,1.4521,0.70659,0.73476,0.82619,0.49028,1.39503,1.40031,1.48149,0.00136452,0.00136452,0.00136452
4,38.4103,1.22608,1.23142,1.44725,0.76921,0.84259,0.872,0.54476,1.25636,1.13215,1.38756,0.00134412,0.00134412,0.00134412
5,47.56,1.20106,1.13561,1.4281,0.86786,0.92416,0.94617,0.63346,1.08196,0.82545,1.26424,0.00131582,0.00131582,0.00131582
6,56.7059,1.1602,1.06737,1.39668,0.92252,0.95634,0.98143,0.6738,1.09331,0.87528,1.25483,0.00128753,0.00128753,0.00128753
7,65.8131,1.13944,0.99092,1.37821,0.75722,0.93044,0.85888,0.50044,1.33315,1.0316,1.39209,0.00125923,0.00125923,0.00125923
8,74.9698,1.12991,0.982,1.37003,0.95838,0.98148,0.99093,0.70308,1.02629,0.60677,1.15804,0.00123094,0.00123094,0.00123094
9,84.1555,1.08528,0.91981,1.34643,0.96514,0.9806,0.99211,0.70926,0.98414,0.57372,1.13822,0.00120265,0.00120265,0.00120265
10,93.3898,1.06676,0.88585,1.3258,0.92527,0.97466,0.98088,0.70765,0.97796,0.60939,1.14831,0.00117435,0.00117435,0.00117435
11,102.654,1.08363,0.88484,1.33076,0.92255,0.97448,0.98561,0.67494,1.12109,0.64687,1.22515,0.00114606,0.00114606,0.00114606
12,111.892,1.07004,0.85528,1.32401,0.9449,0.95719,0.98751,0.68915,1.00209,0.59367,1.14757,0.00111776,0.00111776,0.00111776
13,121.163,1.03891,0.81532,1.31334,0.9462,0.98464,0.99053,0.70411,0.98987,0.52465,1.1281,0.00108947,0.00108947,0.00108947
14,130.515,1.04691,0.80768,1.30484,0.91337,0.99187,0.99017,0.71436,1.02856,0.52698,1.14788,0.00106118,0.00106118,0.00106118
15,139.852,1.02718,0.79736,1.28649,0.97104,0.96941,0.99232,0.72243,0.96763,0.47614,1.1262,0.00103288,0.00103288,0.00103288
16,149.148,1.02123,0.78192,1.28999,0.97403,0.97618,0.99329,0.71722,1.02212,0.47983,1.16268,0.00100459,0.00100459,0.00100459
17,158.491,1.0008,0.75559,1.27752,0.98789,0.97791,0.99348,0.71483,0.98468,0.45962,1.13873,0.000976293,0.000976293,0.000976293
18,167.916,0.9803,0.72521,1.26316,0.96759,0.98666,0.99274,0.69402,1.03103,0.49546,1.14477,0.000947999,0.000947999,0.000947999
19,177.558,0.98485,0.72181,1.259,0.97822,0.97448,0.99405,0.72124,0.96548,0.45118,1.10824,0.000919704,0.000919704,0.000919704
20,187.222,0.99421,0.71948,1.26664,0.97096,0.98374,0.99339,0.71851,0.97081,0.44912,1.116,0.00089141,0.00089141,0.00089141
21,196.817,0.96707,0.70266,1.25689,0.9788,0.98832,0.9937,0.72722,0.98019,0.43127,1.11492,0.000863116,0.000863116,0.000863116
22,206.564,0.95165,0.68637,1.25477,0.96289,0.98254,0.98937,0.73066,0.9679,0.45499,1.09592,0.000834822,0.000834822,0.000834822
23,216.273,0.94987,0.67681,1.23757,0.97736,0.97448,0.99297,0.70851,0.98766,0.45079,1.11882,0.000806528,0.000806528,0.000806528
24,226.066,0.94584,0.68892,1.23665,0.95675,0.99122,0.99297,0.75081,0.9302,0.43382,1.07163,0.000778233,0.000778233,0.000778233
25,235.711,0.94609,0.67446,1.23559,0.99344,0.97794,0.99354,0.73283,0.9847,0.42983,1.10455,0.000749939,0.000749939,0.000749939
26,245.425,0.922,0.66099,1.23616,0.97799,0.98215,0.99394,0.73315,0.92481,0.41344,1.08836,0.000721645,0.000721645,0.000721645
27,255.187,0.93635,0.64512,1.22831,0.97558,0.98405,0.99175,0.71842,0.97501,0.42526,1.10613,0.000693351,0.000693351,0.000693351
28,265.433,0.90971,0.63203,1.2127,0.97844,0.96635,0.99313,0.73356,0.93822,0.40847,1.09525,0.000665057,0.000665057,0.000665057
29,275.385,0.91006,0.63452,1.20678,0.98833,0.98374,0.99144,0.72397,0.96484,0.3963,1.08666,0.000636762,0.000636762,0.000636762
30,285.303,0.90357,0.6387,1.22455,0.9782,0.97448,0.99192,0.7329,0.97558,0.4073,1.10025,0.000608468,0.000608468,0.000608468
31,295.932,0.87909,0.60576,1.19298,0.98075,0.97823,0.99339,0.75417,0.93054,0.40151,1.09355,0.000580174,0.000580174,0.000580174
32,306.336,0.88029,0.59866,1.1892,0.97812,0.98514,0.9937,0.72861,1.01506,0.42197,1.14021,0.00055188,0.00055188,0.00055188
33,316.876,0.86918,0.60026,1.18576,0.98098,0.98015,0.99235,0.72279,0.97602,0.42303,1.10874,0.000523586,0.000523586,0.000523586
