epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,326.813,0.8753,0.58546,1.19843,0.98773,0.96735,0.98934,0.74189,0.91527,0.43734,1.07169,0.000495291,0.000495291,0.000495291
35,336.899,0.85236,0.57126,1.17936,0.98025,0.97974,0.99316,0.74878,0.96186,0.40361,1.09703,0.000466997,0.000466997,0.000466997
36,347.046,0.85639,0.57658,1.18113,0.98642,0.98012,0.99376,0.74757,0.9155,0.37257,1.06561,0.000438703,0.000438703,0.000438703
37,357.062,0.85838,0.57578,1.18418,0.99068,0.98374,0.99383,0.73573,0.94596,0.37936,1.08294,0.000410409,0.000410409,0.000410409
38,367.231,0.84702,0.56834,1.17302,0.98021,0.97448,0.99263,0.74536,0.91107,0.38881,1.06876,0.000382115,0.000382115,0.000382115
39,377.408,0.82957,0.54662,1.1558,0.99278,0.98374,0.99394,0.74409,0.94671,0.38606,1.07461,0.00035382,0.00035382,0.00035382
40,387.842,0.82442,0.54512,1.15873,0.9729,0.98374,0.99207,0.7406,0.92578,0.38173,1.09163,0.000325526,0.000325526,0.000325526
41,398.629,0.76336,0.43995,1.15406,0.99277,0.97962,0.99409,0.72821,0.9603,0.36674,1.08916,0.000297232,0.000297232,0.000297232
42,408.669,0.74122,0.41195,1.13275,0.98835,0.98374,0.99308,0.71643,0.9614,0.38678,1.09563,0.000268938,0.000268938,0.000268938
43,418.693,0.76111,0.40504,1.15121,0.97634,0.98374,0.99138,0.73209,0.95292,0.38789,1.07958,0.000240644,0.000240644,0.000240644
44,428.602,0.72815,0.40329,1.13371,0.98977,0.98374,0.99148,0.74447,0.92027,0.3661,1.07098,0.000212349,0.000212349,0.000212349
45,438.679,0.72739,0.38736,1.1311,0.9865,0.97374,0.99106,0.74896,0.91571,0.38665,1.06112,0.000184055,0.000184055,0.000184055
46,448.864,0.70268,0.38428,1.10204,0.99326,0.98374,0.99338,0.73794,0.94807,0.3663,1.07598,0.000155761,0.000155761,0.000155761
47,458.962,0.70386,0.37706,1.11763,0.98466,0.98262,0.99268,0.74671,0.92035,0.36559,1.06236,0.000127467,0.000127467,0.000127467
48,469.032,0.68496,0.36607,1.0964,0.98673,0.98374,0.99173,0.75071,0.91304,0.35923,1.05667,9.91726e-05,9.91726e-05,9.91726e-05
49,479.203,0.67636,0.35462,1.09078,0.98462,0.98129,0.99133,0.75639,0.89773,0.36544,1.04888,7.08784e-05,7.08784e-05,7.08784e-05
50,489.414,0.6805,0.36265,1.09736,0.98482,0.97902,0.99076,0.74344,0.91184,0.36663,1.05743,4.25842e-05,4.25842e-05,4.25842e-05
