epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2495.33,0.944,0.82755,1.33486,0.94897,0.95025,0.96922,0.67224,1.04481,0.57602,1.33246,0.000848969,0.000848969,0.000848969
43,2554.62,0.92405,0.8106,1.31299,0.97979,0.94708,0.97966,0.68526,1.05018,0.54849,1.29399,0.000834822,0.000834822,0.000834822
44,2614.17,0.93696,0.80268,1.32616,0.93603,0.95743,0.98278,0.69894,1.02478,0.53233,1.27785,0.000820675,0.000820675,0.000820675
45,2673.37,0.92114,0.79928,1.31569,0.93586,0.96706,0.98417,0.70719,1.01647,0.56914,1.26148,0.000806528,0.000806528,0.000806528
46,2732.99,0.91927,0.7856,1.30545,0.96177,0.971,0.97932,0.6942,1.05117,0.54353,1.29322,0.00079238,0.00079238,0.00079238
47,2792.35,0.91657,0.78149,1.31688,0.94479,0.95946,0.98056,0.69154,1.02968,0.52743,1.24645,0.000778233,0.000778233,0.000778233
48,2851.69,0.90393,0.77481,1.30338,0.93576,0.95433,0.96922,0.68142,1.02398,0.5828,1.25653,0.000764086,0.000764086,0.000764086
49,2910.67,0.90909,0.77716,1.30963,0.96222,0.92119,0.97358,0.70671,1.02869,0.52079,1.26557,0.000749939,0.000749939,0.000749939
50,2969.68,0.90105,0.75316,1.31103,0.94243,0.95371,0.9793,0.67304,1.08105,0.56916,1.31741,0.000735792,0.000735792,0.000735792
51,3029.21,0.89629,0.7444,1.30166,0.91142,0.95402,0.97234,0.68179,1.02428,0.61094,1.23751,0.000721645,0.000721645,0.000721645
52,3088.98,0.89655,0.75427,1.30411,0.98927,0.9448,0.98741,0.69997,0.98282,0.50278,1.21585,0.000707498,0.000707498,0.000707498
53,3148.58,0.88552,0.74932,1.29125,0.95094,0.9565,0.97842,0.69118,0.98275,0.52851,1.24786,0.000693351,0.000693351,0.000693351
54,3208.08,0.85936,0.73479,1.27742,0.92495,0.94141,0.97478,0.70316,0.96826,0.54881,1.20708,0.000679204,0.000679204,0.000679204
55,3267.69,0.88263,0.72124,1.28287,0.96168,0.9698,0.98033,0.70228,0.98669,0.50247,1.2563,0.000665057,0.000665057,0.000665057
56,3327.16,0.8835,0.72628,1.28828,0.95075,0.96135,0.97681,0.70034,1.0133,0.54233,1.25532,0.000650909,0.000650909,0.000650909
57,3386.54,0.8735,0.71521,1.27595,0.95377,0.96455,0.97844,0.69423,1.01482,0.5086,1.25177,0.000636762,0.000636762,0.000636762
58,3445.94,0.85957,0.70565,1.27644,0.95902,0.94909,0.97823,0.70549,0.99748,0.49167,1.24045,0.000622615,0.000622615,0.000622615
59,3505.65,0.85588,0.70053,1.26775,0.97925,0.93111,0.98128,0.6954,1.01387,0.52241,1.24555,0.000608468,0.000608468,0.000608468
60,3565.14,0.85988,0.70942,1.26577,0.93836,0.9625,0.97587,0.70331,0.99423,0.51933,1.24084,0.000594321,0.000594321,0.000594321
61,3624.45,0.83965,0.67919,1.25609,0.98715,0.89242,0.97352,0.70525,0.99652,0.49834,1.24414,0.000580174,0.000580174,0.000580174
62,3683.71,0.84285,0.69133,1.26292,0.94527,0.96592,0.98306,0.71187,0.95739,0.50235,1.22798,0.000566027,0.000566027,0.000566027
63,3743.17,0.85409,0.69529,1.26641,0.92015,0.96464,0.97841,0.70702,0.95204,0.4941,1.21818,0.00055188,0.00055188,0.00055188
64,3802.64,0.82946,0.6706,1.25305,0.98518,0.93333,0.98407,0.70773,1.01533,0.51044,1.24906,0.000537733,0.000537733,0.000537733
65,3861.99,0.81597,0.66766,1.24452,0.9659,0.92201,0.9766,0.72203,0.93082,0.46988,1.19449,0.000523586,0.000523586,0.000523586
66,3921.75,0.85145,0.68937,1.27135,0.9508,0.93392,0.98446,0.70462,0.9857,0.48825,1.24969,0.000509438,0.000509438,0.000509438
67,3980.84,0.83227,0.68146,1.25519,0.9597,0.94188,0.98147,0.69989,1.03013,0.49288,1.27552,0.000495291,0.000495291,0.000495291
68,4040.44,0.82774,0.6629,1.24267,0.93688,0.9665,0.98238,0.70949,0.96819,0.48735,1.19021,0.000481144,0.000481144,0.000481144
69,4099.71,0.81652,0.66927,1.23717,0.94945,0.928,0.98199,0.70948,1.00427,0.51351,1.22858,0.000466997,0.000466997,0.000466997
70,4158.52,0.80534,0.64191,1.23706,0.96618,0.93428,0.97753,0.70998,1.01251,0.49251,1.24256,0.00045285,0.00045285,0.00045285
71,4218.06,0.80053,0.64431,1.24038,0.93734,0.96356,0.98485,0.71547,0.95499,0.4797,1.23142,0.000438703,0.000438703,0.000438703
72,4277.53,0.8052,0.64682,1.23534,0.96676,0.95297,0.98021,0.69084,1.01041,0.52186,1.27053,0.000424556,0.000424556,0.000424556
73,4336.85,0.79898,0.63731,1.22759,0.9761,0.91359,0.97918,0.71907,0.96332,0.5101,1.19924,0.000410409,0.000410409,0.000410409
74,4395.54,0.78509,0.62397,1.20881,0.98101,0.95651,0.97864,0.71615,0.96282,0.48229,1.21995,0.000396262,0.000396262,0.000396262
75,4454.59,0.78807,0.62302,1.20871,0.97364,0.94771,0.98103,0.715,0.94808,0.45485,1.21044,0.000382115,0.000382115,0.000382115
